Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
322,161,81,41,27,14,7,3
323,162,81,41,27,14,7,3
324,162,81,41,27,14,7,3
325,163,82,41,28,14,7,3
326,163,82,41,28,14,7,3
327,164,82,41,28,14,7,3
328,164,82,41,28,14,7,3
329,165,83,42,28,14,7,3
330,165,83,42,28,14,7,3
331,166,83,42,28,14,7,3
332,166,83,42,28,14,7,3
333,167,84,42,28,14,7,3
334,167,84,42,28,14,7,3
335,168,84,42,28,14,7,3
336,168,84,42,28,14,7,3
337,169,85,43,29,15,8,3
338,169,85,43,29,15,8,3
339,170,85,43,29,15,8,3
340,170,85,43,29,15,8,3
341,171,86,43,29,15,8,3
342,171,86,43,29,15,8,3
343,172,86,43,29,15,8,3
344,172,86,43,29,15,8,3
345,173,87,44,29,15,8,3
346,173,87,44,29,15,8,3
347,174,87,44,29,15,8,3
348,174,87,44,29,15,8,3
349,175,88,44,30,15,8,3
350,175,88,44,30,15,8,3
351,176,88,44,30,15,8,3
352,176,88,44,30,15,8,3
353,177,89,45,30,15,8,3
354,177,89,45,30,15,8,3
355,178,89,45,30,15,8,3
356,178,89,45,30,15,8,3
357,179,90,45,30,15,8,3
358,179,90,45,30,15,8,3
359,180,90,45,30,15,8,3
360,180,90,45,30,15,8,3
361,181,91,46,31,16,8,4
362,181,91,46,31,16,8,4
363,182,91,46,31,16,8,4
364,182,91,46,31,16,8,4
365,183,92,46,31,16,8,4
366,183,92,46,31,16,8,4
367,184,92,46,31,16,8,4
368,184,92,46,31,16,8,4
369,185,93,47,31,16,8,4
370,185,93,47,31,16,8,4
371,186,93,47,31,16,8,4
372,186,93,47,31,16,8,4
373,187,94,47,32,16,8,4
374,187,94,47,32,16,8,4
375,188,94,47,32,16,8,4
376,188,94,47,32,16,8,4
377,189,95,48,32,16,8,4
378,189,95,48,32,16,8,4
379,190,95,48,32,16,8,4
380,190,95,48,32,16,8,4
381,191,96,48,32,16,8,4
382,191,96,48,32,16,8,4
383,192,96,48,32,16,8,4
384,192,96,48,32,16,8,4
385,193,97,49,33,17,9,4
